scope	test_name	outcome	multiplicity
coverage	ApplyResult_UnknownAwayClub_LeavesHomeRowUntouched	Passed	1
coverage	ApplyResult_UnknownClub_Throws	Passed	1
coverage	ApplySecondYellow_WithAValidBanLength_MatchesApplyCardsKind2Behaviour	Passed	1
coverage	ApplySecondYellow_WithAnInvalidBanLength_RefusesTheWholeCardAtomically	Passed	1
coverage	ApplyStraightRed_WithAValidBanLength_MatchesApplyCardsKind1Behaviour	Passed	1
coverage	ApplyStraightRed_WithAnInvalidBanLength_Throws	Passed	1
coverage	ApplyStrength_ShiftsEveryAttribute_ButLeavesWeakFootExactlyAlone	Passed	1
coverage	Apply_Fallback_AllRunnersConvertedWhenUnresolvable	Passed	1
coverage	Apply_MaxRunners_ExcessRunnersDemoted	Passed	1
coverage	Apply_MaxRunners_ShallowRunnerDemotedFirst	Passed	1
coverage	Apply_MinSupport_ShallowestRunnerDemotedToSupportBall	Passed	1
coverage	Apply_NullArguments_Throw	Passed	2
coverage	Apply_OwnHalfBlock_RunnerTargetInOwnHalfDemoted	Passed	1
coverage	Apply_RoutesEachAgentTactic	Passed	1
coverage	Apply_RoutesEachTeamTactic_Translated	Passed	1
coverage	ArmPassInFlight_RefusesATargetThatIsNotALiveTeamMate	Passed	1
coverage	AssemblyOverload_AgreesWithModuleOverload	Passed	1
coverage	AssemblyReferences_AreExactlyCurrentPhaseDependencies	Passed	1
coverage	Assign_StableAgent_StillReevaluated_TransitionsWhenPreferenceChanges	Passed	1
coverage	AttachTickObserver_IsSetOnce_AndPreStart	Passed	1
coverage	AttackDirective_Empty_AllFieldsDefault	Passed	1
coverage	AttackIntentSnapshot_Intents_BoundedToValidCount	Passed	1
coverage	AttackIntent_NonRunnerRole_NullRunParameters	Passed	1
coverage	AttackIntent_RunnerRole_CarriesRunParameters	Passed	1
coverage	AttackingState_FeedsSnapshotDigest	Passed	1
coverage	AttrIdx_Count_MatchesConstant	Passed	1
coverage	AttributeBounds_MirrorPlayerDatabase	Passed	1
coverage	AttributeConditioningBonus_IsDeterministicAndMonotone_TTRCON002	Passed	1
coverage	AvailableTransferBudget_IsReadOnly	Passed	1
coverage	Awareness_BuildsOverFirstTicks_ColdStart	NotExecuted	1
coverage	AwayTeamCarriers_MirrorHomeTeam	Passed	1
coverage	AwayTeamFormationSlots_MirrorHomeTeam	Passed	1
coverage	BM001_PerfectApproach_RunUpScoreNearMax	Passed	1
coverage	BM002_NinetyDegreeRunUp_ReducesScore	Passed	1
coverage	BM003_AgentAtBall_PlantFootScoreHigh	Passed	1
coverage	BM004_LargePlantFootOffset_ReducesScore	Passed	1
coverage	BM005_MovingAgent_ScoresHigherThanStationary	Passed	1
coverage	BM006_ExtremeInputs_ScoreAlwaysInUnitRange	Passed	1
coverage	BM007_PoorMechanicsHighPower_StumbleTriggered	NotExecuted	1
coverage	BM008_PoorMechanicsLowPower_NoStumble	Passed	1
coverage	BP001_BallWithinFov_IsImmediatelyVisible	Passed	1
coverage	BP002_BallOutsideFov_NotVisible_RetainsLastKnown	Passed	1
coverage	BP004_BallStaleness_IncrementsEachInvisibleTick	Passed	1
coverage	BP005_BallStaleness_ResetsOnRevisibility	Passed	1
coverage	BP006_LastKnownPosition_RetainedDuringInvisibility	Passed	1
coverage	BP007_CoLocatedBall_IsVisibleRegardlessOfFacing	Passed	1
coverage	BackwardMultiplier_EndpointsMatchConstants	Passed	1
coverage	BackwardPass_AwayPressing_NormalizesWorldTargetAtReadSite	Passed	1
coverage	BackwardPass_DoesNotFireForOwnTeamPasser	Passed	1
coverage	BackwardPass_DoesNotFireWhenPassIsForward	Passed	1
coverage	BackwardPass_FiresWhenDotBelowThreshold	Passed	1
coverage	BadTouch_DoesNotFireWhenQualityAboveThreshold	Passed	1
coverage	BadTouch_DoesNotFireWhenVelocityBelowThreshold	Passed	1
